Date (Year Month),Page path and screen class,Session source,Views,Total users,New users,Sessions,Engaged sessions
Dec 2025,/products/dpu24-4-head-dtf-printer-24,chatgpt.com,3,3,3,3,1
Apr 2026,/products/dtf-white-ink-1-liter,chatgpt.com,3,2,1,3,1
Apr 2026,/products/20x24-hydraulic-heat-press-6-platens-industrial-use,chatgpt.com,3,1,1,1,1
Mar 2026,/products/replacement-white-ink-circulation-shunt,chatgpt.com,3,1,0,1,1
Feb 2026,/pages/contact-us,copilot.com,3,1,0,1,1
Feb 2026,/products/dtfprinterusa-12-needle-professional-embroidery-machine-touch-screen-flat-cap-embroidery,chatgpt.com,3,3,2,3,1
Jul 2025,/collections/new-products,chatgpt.com,3,1,0,1,1
Jul 2025,/products/double-matte-smart-peel-24x328-feet,chatgpt.com,3,1,0,1,1
Mar 2026,/collections/uv-dtf-film,chatgpt.com,3,1,0,2,2
Aug 2025,/collections/dtf-printers-and-dryers,chatgpt.com,3,3,3,3,0
Jan 2026,/products/dtf-printer-set-up-service,chatgpt.com,3,1,0,2,2
Jan 2026,/blogs/blog/guide-dtf-printer-for-beginners-and-for-small-businesses,chatgpt.com,3,1,0,2,2
Mar 2026,/collections/dtf-film,chatgpt.com,3,2,0,2,2
Apr 2026,/collections/dtf-printing-supplies-sale,chatgpt.com,3,2,1,2,2
Nov 2025,/collections/dtf-printers-and-dryers,chatgpt.com,3,3,0,3,3
Mar 2026,/pages/contact-us,chatgpt.com,3,3,0,3,3
Feb 2026,/products/24x32-hydraulic-heat-press-machine-large-format,chatgpt.com,2,2,1,2,1
Oct 2025,/account/orders/59febbcd94ae86f44b1e88eae90bc3a3,chatgpt.com,2,2,0,2,1
Apr 2026,/products/double-matte-smart-peel-24x328-feet,chatgpt.com,2,3,1,3,2
Apr 2026,/collections/uv-printers,chatgpt.com,2,1,1,1,1
Apr 2025,/collections/dtf-film,chatgpt.com,2,2,1,2,0
Apr 2025,/products/replacement-main-board-dtf,chatgpt.com,2,2,1,2,0
Mar 2026,/blogs/blog/guide-dtf-printer-for-beginners-and-for-small-businesses,chatgpt.com,2,1,0,1,1
Aug 2025,/products/replacement-y-shape-ink-tube-connector,chatgpt.com,2,2,1,2,0
Mar 2026,/products/single-head-15-needle-embroidery-machine-cap-support,chatgpt.com,2,1,0,2,1
Aug 2025,/pages/about-dtf-printer-usa,chatgpt.com,2,2,2,2,0
Mar 2026,/checkouts/cn/hWN9HoQtcmVZN7HTulcX3exW/en-us,chatgpt.com,2,1,0,1,1
Sep 2025,/products/dtf-moisturizing-liquid,chatgpt.com,2,2,2,2,0
Sep 2025,/products/dtf-transfer-medium-powder,chatgpt.com,2,2,1,2,0
Feb 2026,/checkouts/cn/hWN9AJq9uuyESHEVd7T2UFCE/en-us,chatgpt.com,2,1,0,1,1
Feb 2026,/products/uv-cylinder-360-degree,chatgpt.com,2,2,2,2,0
Feb 2026,/products/uv-dtf-film-a-b-30,chatgpt.com,2,3,2,3,0
Feb 2026,/products/6-head-15-needle-industrial-embroidery-machine,chatgpt.com,2,1,0,1,1
Feb 2026,/products/24-inch-uv-printer-3-epson-i3200-printheads,copilot.com,2,1,0,2,1
Apr 2026,/products/dtf-black-ink-1-liter,chatgpt.com,2,1,1,3,0
Apr 2026,/products/24-inch-dtf-printer-4-epson-i3200-printheads,claude.ai,2,2,1,2,0
Apr 2026,/blogs/blog/preventative-maintenance-routine-dtf-print-head,gemini.google.com,2,2,1,3,0
Oct 2025,/products/dtf-strong-cleaning-solution,chatgpt.com,2,2,2,2,1
Apr 2026,/blogs/blog/guide-dtf-printer-for-beginners-and-for-small-businesses,gemini.google.com,2,4,2,4,1
Apr 2026,/collections/dtf-transfer-powders,chatgpt.com,2,2,2,2,0
Jan 2026,/pages/about-dtf-printer-usa,chatgpt.com,2,2,0,3,3
Apr 2026,/products/12-inch-dtf-printer-dual-epson-i1600-printheads,chatgpt.com,2,2,1,2,0
Feb 2026,/search,chatgpt.com,2,1,0,1,1
Feb 2026,/collections/dtf-printing-supplies-sale,chatgpt.com,2,2,2,2,0
Jan 2026,/products/dtf-transfer-premium-powder-1-kg,chatgpt.com,2,3,2,3,0
May 2025,/collections/dtf-printers-and-dryers,chatgpt.com,2,2,0,2,2
May 2025,/products/dpu24-4-head-dtf-printer-24,chatgpt.com,2,3,0,4,2
Jan 2026,/pages/about-dtf-printer-usa,cn.bing.com,2,2,2,2,0
Jan 2026,/blogs/blog/dtf-supplies-inks-films-powders-equipment-you-actually-need,chatgpt.com,2,2,2,2,0
Feb 2026,/collections/uv-printers,chatgpt.com,2,1,0,1,1
Dec 2025,/products/dtf-printer-usa-dpu24-4-bundle-with-dryer,chatgpt.com,2,2,2,2,0
Jun 2025,/collections/heat-presses,chatgpt.com,2,2,0,3,2
Nov 2025,/collections/dtf-printer,chatgpt.com,2,2,2,2,0
Nov 2025,/products/dtfprinterusa-a3-dtf-printer-model-300b-dual-epson-printheads-cmyk-w,chatgpt.com,2,2,2,2,0
Oct 2025,/products/a3-uv-flatbed,chatgpt.com,2,2,2,2,0
Oct 2025,/products/dtfprinterusa-3d-embroidery-effect-dtf-printer-no-oven-needed-print-press,chatgpt.com,2,2,2,2,0
Sep 2025,/products/a3-uv-flatbed,chatgpt.com,2,2,2,2,0
Sep 2025,/products/replacement-main-board-dtf,chatgpt.com,2,2,2,2,0
Sep 2025,/blogs/blog/best-heat-press-machines-for-all-your-needs-in-2025,chatgpt.com,2,2,1,2,0
Sep 2025,/blogs/news/best-heat-press-machines-for-all-your-needs-in-2025,perplexity,2,2,2,2,0
Aug 2025,/products/dtfprinterusa-1-8m-oil-roller-heat-press-jc-26b-multifunction-sublimation-transfer,chatgpt.com,2,2,2,2,0
Feb 2026,/collections/dtf-film,chatgpt.com,2,1,1,1,1
May 2025,/pages/about-dtf-printer-usa,chatgpt.com,2,2,2,2,0
Jul 2025,/,cn.bing.com,2,3,2,3,1
Jan 2026,/products/uv-dpu24-4-printer-24-copy,chatgpt.com,2,1,0,1,1
Apr 2026,/products/replacement-white-and-color-damper,chatgpt.com,2,2,2,2,1
Jan 2026,/products/fully-automatic-turntable-6-station-heat-press-machine-model-gs-qd6-size-50-60-cm,chatgpt.com,2,1,0,1,1
Jul 2025,/products/dpu24-4-head-dtf-printer-24,chatgpt.com,2,2,0,2,2
Apr 2026,/cart,chatgpt.com,2,2,0,2,2
Apr 2026,/blogs/blog/best-heat-press-machines-for-all-your-needs-in-2025,claude.ai,2,2,2,2,2
Jul 2025,/collections/heat-presses,chatgpt.com,2,2,0,2,2
Jan 2026,/collections/sublimation,chatgpt.com,2,1,0,1,1
Jan 2026,/products/24-inch-high-power-dtf-powder-shaker-dryer-for-production-environments,chatgpt.com,2,1,0,1,1
Jan 2026,/products/dtf-printer-usa-dpu24-4-bundle-with-dryer,perplexity,2,1,1,1,1
Jul 2025,/products/dtf-black-ink-1-liter,chatgpt.com,2,2,0,2,2
Apr 2026,/products/laser-cutting-machine-51-x-98-inch-150w-power,chatgpt.com,2,2,1,2,1
Apr 2026,/products/75-inch-sublimation-printer-4-epson-i3200-printheads,chatgpt.com,2,2,0,2,2
Jan 2026,/products/replacement-dryer-ic-board-version-1-4,chatgpt.com,2,1,1,1,1
Mar 2026,/products/dtf-white-ink-1-liter,chatgpt.com,2,2,1,2,1
Dec 2025,/products/dtfprinterusa-3d-embroidery-effect-dtf-printer-no-oven-needed-print-press,chatgpt.com,2,1,0,1,1
Mar 2026,/collections/dtf-printer,chatgpt.com,2,2,1,2,1
Dec 2025,/products/dtf-transfer-premium-powder-1-kg,chatgpt.com,2,1,0,1,1
Mar 2026,/products/uv-dtf-film-a-b-60,chatgpt.com,2,2,1,2,2
Dec 2025,/products/dtf-transfer-medium-powder,chatgpt.com,2,1,1,1,1
Mar 2026,/products/12-inch-dtf-printer-dual-epson-i1600-printheads,chatgpt.com,2,2,1,2,1
Nov 2025,/policies/refund-policy,chatgpt.com,2,1,0,2,1
Aug 2025,/products/uv-dpu24-4-printer-24-copy,chatgpt.com,2,1,0,1,1
Mar 2026,/collections/replacement-and-spare-parts-for-dryer,chatgpt.com,2,2,2,2,1
Mar 2026,/products/laser-cutting-machine-51-x-98-inch-150w-power,chatgpt.com,2,2,1,2,2
Jul 2025,/products/dtf-printer-set-up-service,gemini.google.com,2,2,0,3,2
Feb 2026,/products/automatic-bagging-packing-machine-for-apparel-fullfilment,chatgpt.com,2,2,1,2,1
Feb 2026,/products/75-inch-sublimation-printer-4-epson-i3200-printheads,chatgpt.com,2,2,0,2,2
Jul 2025,/blogs/blog,gemini.google.com,2,2,0,2,1
Jul 2025,/products/dtfprinterusa-xf-450pro-a2-all-in-one-dtf-printer-dual-i1600-heads-16-print-width,chatgpt.com,2,1,0,2,1
Feb 2026,/products/uv-dtf-printer-usa-white-ink-1-liter,chatgpt.com,2,2,1,2,1
Jul 2025,/products/dtf-transfer-premium-powder-1-kg,chatgpt.com,2,1,0,1,1
Jul 2025,/products/dtf-transfer-medium-powder,chatgpt.com,2,1,0,1,1
Jul 2025,/products/dtf-transfer-fine-powder,chatgpt.com,2,1,0,1,1
Feb 2026,/products/replacement-data-cables,chatgpt.com,2,2,2,2,1
Feb 2026,/products/dtf-white-ink-1-liter,chatgpt.com,2,2,2,2,1
Feb 2026,/products/premium-double-matte-hot-peel-24x328-feet,chatgpt.com,2,2,2,2,1
Jul 2025,/products/dtf-magenta-ink-1-liter,chatgpt.com,2,1,0,1,1
Feb 2026,/collections/embroidery,chatgpt.com,2,2,0,2,2
Feb 2026,/collections/dtf-dryers,chatgpt.com,2,2,0,3,2
Jul 2025,/products/replacement-white-ink-filter,chatgpt.com,2,2,2,2,1
Jul 2025,/products/dtf-moisturizing-liquid,chatgpt.com,2,1,1,1,1
Jan 2026,/pages/contact-us,chatgpt.com,2,2,2,2,1
Jul 2025,/cart,chatgpt.com,2,1,0,1,1
Jun 2025,/pages/contact-us,chatgpt.com,2,1,0,1,1
Sep 2025,/blogs/blog/what-is-the-best-dtf-printer-for-small-business,chatgpt.com,2,2,0,2,1
Jun 2025,/collections/replacement-and-spare-parts,chatgpt.com,2,1,0,1,1
Jun 2025,/products/dtf-moisturizing-liquid,cn.bing.com,2,1,1,1,1
Sep 2025,/products/dtf-magenta-ink-1-liter,chatgpt.com,2,2,0,2,2
Apr 2025,/pages/contact-us,chatgpt.com,2,1,0,1,1
Sep 2025,/products/dtf-white-ink-1-liter,chatgpt.com,2,2,0,2,2
Jan 2026,/collections/dtf-transfer-powders,chatgpt.com,2,3,0,3,2
Sep 2025,/,perplexity.ai,2,2,1,2,1
Jan 2026,/collections/embroidery,chatgpt.com,2,2,0,2,2
Dec 2025,/blogs/blog/dtf-printing-stretch-test-for-performance-wear-durability,chatgpt.com,2,2,2,2,1
Dec 2025,/products/dtf-white-ink-1-liter,chatgpt.com,2,2,0,2,1
Apr 2025,/products/dtf-printer-usa-dpu24-4-bundle-with-dryer,chatgpt.com,2,1,0,2,1
Dec 2025,/pages/contact-us,chatgpt.com,2,3,0,3,2
Dec 2025,/collections/dtf-printing-supplies-sale,chatgpt.com,2,2,1,2,1
Nov 2025,/collections/dtf-printing-supplies-sale,chatgpt.com,2,2,2,2,1
Mar 2026,/products/24-inch-fluorescent-dtf-printer-4-epson-i3200,chatgpt.com,2,1,0,2,2
Jul 2025,/collections/dtf-printers-and-dryers,gemini.google.com,2,1,0,2,2
Oct 2025,/pages/contact-us,cn.bing.com,2,2,0,2,2
Oct 2025,/,cn.bing.com,2,2,0,2,2
Oct 2025,/collections/dtf-film,chatgpt.com,2,2,1,2,1
Oct 2025,/account/orders/c19676ec6787024b4cbd478305da92b6,chatgpt.com,2,2,0,2,2
Oct 2025,/products/dtf-white-ink-1-liter,chatgpt.com,2,2,0,2,2
Apr 2026,/products/replacement-5x3mm-4-colors-ink-tube,chatgpt.com,2,1,1,1,1
Nov 2025,/）,chatgpt.com,1,1,0,1,1
Apr 2026,/products/replacement-ssr-solid-state-relay,chatgpt.com,1,1,1,1,0
Oct 2025,/collections/dtf-inks-t-shirts-hats,chatgpt.com,1,1,0,1,1
Oct 2025,/account/orders/1b25ddead365570b60298e8314ed9bc0,chatgpt.com,1,1,0,1,1
Oct 2025,/blogs/blog/dtf-printer-maintenance-checklist,chatgpt.com,1,1,1,1,1
Sep 2025,/products/ultra-premium-hot-peel-24x328-feet,chatgpt.com,1,1,0,1,1
Oct 2025,/checkouts/cn/16945bfa5ac6b6d8ad8655e53306abe6/thank_you,chatgpt.com,1,1,0,1,1
Sep 2025,/checkouts/cn/3df498366b9786a0a50d554cd783988b/thank_you,chatgpt.com,1,1,0,1,1
Oct 2025,/pages/contact-us,chatgpt.com,1,1,0,1,1
Oct 2025,/products/ultra-premium-hot-peel-24x328-feet,chatgpt.com,1,1,0,1,1
Oct 2025,/collections/dtf-transfer-powders,chatgpt.com,1,2,0,2,1
Oct 2025,/products/premium-double-matte-hot-peel-24x328-feet,chatgpt.com,1,1,1,1,1
Sep 2025,/products/dtf-yellow-ink-1-liter,chatgpt.com,1,1,0,1,1
Oct 2025,/collections/dtf-printers-and-dryers,cn.bing.com,1,1,0,1,1
Sep 2025,/products/dtf-cyan-ink-1-liter,chatgpt.com,1,1,0,1,1
Oct 2025,/products/dpu24-4-head-dtf-printer-24,chatgpt.com,1,1,0,1,1
Oct 2025,/account/orders/a6403d34783fc07c3e0a914e37032029,chatgpt.com,1,1,0,1,1
Oct 2025,/checkouts/cn/723cf9bafcc383ba8ae89e9979981e8b/thank_you,chatgpt.com,1,1,0,1,1
Nov 2025,/pages/contact-us,chatgpt.com,1,1,0,1,1
Nov 2025,/products/dtf-white-ink-1-liter,chatgpt.com,1,1,1,1,1
Nov 2025,/products/uv-cylinder-360-degree,chatgpt.com,1,1,1,1,1
Sep 2025,/products/dtf-black-ink-1-liter,chatgpt.com,1,1,0,1,1
Sep 2025,/checkouts/cn/8442e6400171238e6c4106f4905bd3b8/thank_you,chatgpt.com,1,2,0,2,2
Nov 2025,/collections/dtf-sheets,chatgpt.com,1,1,0,1,1
Nov 2025,/collections/replacement-and-spare-parts-for-dryer,chatgpt.com,1,1,0,1,1
Nov 2025,/products/white-poly-mailer,chatgpt.com,1,1,0,1,1
Sep 2025,/account/orders/cc38e21bce47f34d6ef3ff74a14ca204,chatgpt.com,1,1,0,1,1
Nov 2025,/collections/dtf-printers-and-dryers,copilot.microsoft.com,1,1,0,1,1
Nov 2025,/pages/about-dtf-printer-usa,copilot.microsoft.com,1,1,1,1,1
Nov 2025,/blogs/blog/what-is-the-best-dtf-printer-for-small-business,chatgpt.com,1,1,1,1,1
Nov 2025,/collections/dtf-film,chatgpt.com,1,1,0,1,1
Nov 2025,/products/a4-dtf-paper,chatgpt.com,1,1,0,2,1
Nov 2025,/blogs/blog/dtf-supplies-inks-films-powders-equipment-you-actually-need,chatgpt.com,1,1,1,1,1
Dec 2025,/collections/dtf-inks-t-shirts-hats,chatgpt.com,1,1,0,1,1
Dec 2025,/collections/dtf-film,chatgpt.com,1,1,0,1,1
Dec 2025,/checkouts/cn/hWN644V9PhFeoPbZoV0EqCO8/en-us,chatgpt.com,1,1,0,1,1
Dec 2025,/checkouts/cn/hWN644V9PhFeoPbZoV0EqCO8/en-us/thank-you,chatgpt.com,1,1,0,1,1
Sep 2025,/account,chatgpt.com,1,1,0,1,1
Sep 2025,/26180419620/orders/e10f96598b353efebdf3739ce3ac5e67,chatgpt.com,1,1,0,1,1
Dec 2025,/pages/faq,chatgpt.com,1,1,0,1,1
Sep 2025,/pages/contact-us,cn.bing.com,1,2,0,2,1
Dec 2025,/pages/set-up-service,chatgpt.com,1,1,0,1,1
Dec 2025,/collections/new-products,chatgpt.com,1,1,0,1,1
